epoch,train_loss,val_loss,mean_d_pos,mean_d_neg,active_fraction
1,0.11632596701383591,0.14073148369789124,0.5320718884468079,1.602452278137207,0.26826048694631854
2,0.201956108212471,0.1376713216304779,0.7889675498008728,1.8093373775482178,0.24611322968612495
3,0.15741580724716187,0.10184170305728912,0.7101823687553406,1.8950434923171997,0.1875916691111763
4,0.1501292884349823,0.10463413596153259,0.7358688712120056,1.9136053323745728,0.19169844529187444
5,0.13950787484645844,0.07317700982093811,0.6059538722038269,1.9253815412521362,0.14857729539454387
6,0.1354035586118698,0.09481535851955414,0.6886324882507324,1.9304392337799072,0.17395130536814316
7,0.12087099254131317,0.0823005810379982,0.6717515587806702,1.9171600341796875,0.16515107069521853
8,0.11208848655223846,0.07914630323648453,0.6551882028579712,1.963689923286438,0.1559108242886477
9,0.11227678507566452,0.06320808082818985,0.6259622573852539,2.00131893157959,0.12892343795834554
10,0.10884648561477661,0.06303582340478897,0.6151908040046692,2.004002332687378,0.12775007333528893
