name,sampler,epochs,best_epoch,train_loss,val_loss,active_fraction,mean_d_pos,mean_d_neg,train_seconds,p_at_1,p_at_5,p_at_10,map_at_10,mean_nn_distance,n_queries
baseline_random,random,4,4,0.0571,0.0908,0.1901,0.5101,1.7183,2145.2,0.77,0.72,0.7022,0.6287097619047618,0.04243038222193718,500
tuned_semihard,semihard,10,10,0.1088,0.063,0.1278,0.6152,2.004,4675.7,0.828,0.8144,0.8135999999999999,0.7677012698412699,0.04178749769926071,500
